Beach_Code,Original_Beach_Name,API_Beach_Name,Match_Type,rating,user_ratings_total,API_lat,API_lng,Search_lat,Search_lng,types,vicinity
100,Caulonia,Spiaggia Rocco dei Matti,closest_beach_9pts_0.59km,42,5,383352706,164542402,3833758366,1646034821,"tourist_attraction, point_of_interest, establishment","8FP3+4M, Caulonia"
97,Cipollazzo,Spiaggia di Cipollazzo,good_match_112pts_0.29km,46,66,3.76E+20,129352634,3757328088,1293836474,"tourist_attraction, point_of_interest, establishment","Via Terni, 8, Menfi"
89,Club Adriatico C.da Fontanelle  Polignano a Mare,Spiaggia di Torre San Vito,manually_corrected,40,72,4.10E+21,1.72E+21,,,,
94,Club Adriatico - Polignano a Mare,Spiaggia libera,closest_beach_7pts_0.84km,5,9,4.10E+20,171925005,4102005106,1718505156,"tourist_attraction, point_of_interest, establishment","Via San Vito, 312, Polignano a Mare"
53,da Borgo Bonsignore a Foce Fiume Platani,Riserva Naturale Orientata Foce del Fiume Platani,good_match_56pts_0.37km,47,1327,374077554,132686559,3740505906,1326610923,"tourist_attraction, park, point_of_interest, establishment",Ribera
71,Da lido Tado' a spiaggia libera S8 di Eboli,Spiaggia Libera S8 Eboli,manually_corrected,41,38,4.05E+20,1.49E+19,,,,
61,"da Marinella di Selinunte alla Foce del Fiume Belice, sponda destra e sinistra verso Menfi",Spiaggia La PINETA,manually_corrected,44,421,3.76E+20,1.29E+21,3758125831,1285864681,"tourist_attraction, point_of_interest, establishment","HVM7+47, Castelvetrano"
153,Dune di Falerna,Spiaggia di Falerna,manually_corrected,43,45,3.90E+20,1.61E+21,,,,
36,Favignana,Spiaggia Praia,manually_corrected,39,1677,3.79E+20,1.23E+21,3792938738,1232539415,"tourist_attraction, museum, point_of_interest, establishment","Via Amendola, 29, Favignana"
32,Foce dell'Irno,Spiaggia Universo beach,manually_corrected,42,43,4.07E+21,1.48E+21,,,,
154,Foce del Savuto,Fiume Savuto,closest_beach_13pts_0.74km,43,11,3.90E+19,160993829,3903850398,1609786749,"natural_feature, establishment",
56,Fregene Macchiagrande,Spiaggia libera Macchia Grande,manually_corrected,43,16,4.18E+20,1.22E+21,,,,
27,Fungitedda,Spiaggia Funcitedda,closest_beach_14pts_0.15km,47,45,373602572,133442728,3736028621,1334593821,"natural_feature, establishment","Spiaggia Funcitedda, Siculiana"
134,Gizzeria Lido,Lido Gizzeria - Spiaggia libera,good_match_55pts_0.04km,44,122,389281861,1621484,3892817526,1621443059,"tourist_attraction, point_of_interest, establishment","Lungomare Cristoforo Colombo, 2, Gizzeria Lido"
58,Grotta dei delfini,Spiaggia di Levante - Sperlonga,closest_beach_10pts_0.51km,45,35,412537062,134426407,4125577231,1343715859,"tourist_attraction, point_of_interest, establishment","Via dell'Angolo, 816, Sperlonga"
133,Guardavalle,PALM BEACH,manually_corrected,44,31,3.85E+20,1.66E+21,,,,
63,isola di Sant'Andrea,Isola Sant'Andrea,good_match_59pts_0.06km,43,101,406616016,179687391,4066103311,1796886921,"natural_feature, establishment",
140,LAGUNA DEL MORT,Laguna del Mort,good_match_145pts_1.55km,44,233,455384326,127457044,4552930096,1273069189,"natural_feature, establishment",
167,l'amanusa spiaggia libera,Spiaggia Libera,good_match_123pts_0.16km,4,192,417041764,123395869,417030752,1233833179,"natural_feature, establishment",Spiaggia Libera
35,Levanzo,Spiaggia di Cala Minnola,good_match_113pts_0.74km,46,485,3.80E+20,123382285,3798983033,1234538761,"park, tourist_attraction, point_of_interest, establishment","Levanzo, ., Favignana"
109,Lido azzurro e ske torre a mare bari,Torre a Mare,good_match_127pts_0.26km,44,1124,4.11E+20,170007386,4108838011,1700377285,"tourist_attraction, point_of_interest, establishment","Via Trulli, Torre A Mare"
101,Lido di Classe,Spiaggia libera di Lido di Classe,manually_corrected,44,517,4.43E+21,1.23E+20,,,,
150,Lido di Ostia,pontile di ostia,good_match_116pts_0.40km,47,3,417233889,122953889,4172356556,1229061985,"tourist_attraction, point_of_interest, establishment","Via delle Quinqueremi, 60, Lido di Ostia"
135,Lido di Sciacca,Spiaggia del Lido,manually_corrected,39,168,37.50531017,13.06347002,37.50449,13.06377,,"92019 Sciacca, Free municipal consortium of Agrigento, Italy"
95,Lido Fiori,Spiaggia Lido Fiori,good_match_111pts_0.39km,45,260,375650341,129594985,3756608553,1295526266,"tourist_attraction, point_of_interest, establishment","Viale delle Margherite, 15, Menfi"
168,Lungomare di Sabaudia,Spiaggia Libera-Lungomare di Sabaudia,manually_corrected,41,562,4.13E+21,1.30E+20,4131036,13001345,"tourist_attraction, point_of_interest, establishment","Strada Lungomare Pontino, Km. 27/050, Lungomare di Sabaudia"
108,Lungomare lido Sant' Angelo . Corigliano-Rossano,Lido Ultima Spiaggia,manually_corrected,39,229,3.96E+21,1.66E+20,,,,
171,Marina della Lobra - Miglio Blu - Massa Lubrense (Na),Spiaggia di San Montano,manually_corrected,43,307,4.06E+01,143345695,406146022,1433898211,"tourist_attraction, point_of_interest, establishment","Via Cristoforo Colombo, Massa Lubrense"
125,Marina di Pisa,Spiaggia Marina di Pisa,manually_corrected,44,478,43.66541311,10.27698552,43,10,,"Marina di Pisa, Province of Pisa, Italy"
110,Marinella di San Terenzo,Spiaggia della Marinella di San Terenzo,good_match_175pts_0.01km,45,18,440829897,98949034,4408305164,9894803166,"tourist_attraction, point_of_interest, establishment",Lerici
143,Mondragone Spiaggia Lungomare Sinope,Spiaggia di Mondragone,closest_beach_13pts_0.73km,41,704,411149289,138809456,411107,138876,"tourist_attraction, point_of_interest, establishment","Via Domiziana, 336, Mondragone"
